Latitude,Longitude
48 24 6.36,-106 59 85.81
48 24 6.34,-106 59 83.22
48 24 6.3,-106 59 80.63
48 24 6.2,-106 59 78.04
48 24 6.03,-106 59 75.47
48 24 5.76,-106 59 72.91
48 24 5.38,-106 59 70.37
48 24 4.91,-106 59 67.87
48 24 4.36,-106 59 6.54
48 24 3.73,-106 59 62.97
48 24 3.01,-106 59 6.06
48 24 2.21,-106 59 58.27
48 24 1.35,-106 59 55.99
48 24 4.7,-106 59 53.73
48 23 99.58,-106 59 51.47
48 23 98.71,-106 59 4.92
48 23 97.84,-106 59 46.93
48 23 96.98,-106 59 44.68
48 23 96.12,-106 59 42.42
48 23 95.26,-106 59 40.15
48 23 94.39,-106 59 37.87
48 23 93.52,-106 59 35.58
48 23 92.63,-106 59 33.27
48 23 91.74,-106 59 30.94
48 23 90.84,-106 59 28.58
48 23 89.94,-106 59 26.21
48 23 89.03,-106 59 23.81
48 23 88.11,-106 59 21.39
48 23 87.19,-106 59 18.95
48 23 86.26,-106 59 16.49
48 23 85.33,-106 59 14.01
48 23 84.39,-106 59 11.51
48 23 83.44,-106 59 90
48 23 82.48,-106 59 6.46
48 23 81.52,-106 59 3.91
48 23 80.55,-106 59 1.35
48 23 79.57,-106 58 98.77
48 23 78.58,-106 58 96.17
48 23 77.59,-106 58 93.55
48 23 7.66,-106 58 90.91
48 23 7.56,-106 58 88.26
48 23 7.46,-106 58 85.58
48 23 73.58,-106 58 82.89
48 23 72.56,-106 58 80.18
48 23 71.54,-106 58 77.45
48 23 70.51,-106 58 7.47
48 23 69.48,-106 58 71.95
48 23 68.46,-106 58 69.24
48 23 67.45,-106 58 66.57
48 23 66.48,-106 58 63.93
48 23 65.56,-106 58 6.13
48 23 64.72,-106 58 58.66
48 23 63.98,-106 58 55.98
48 23 63.37,-106 58 53.22
48 23 62.92,-106 58 5.04
48 23 62.59,-106 58 47.53
48 23 62.36,-106 58 44.63
48 23 62.23,-106 58 4.17
48 23 62.19,-106 58 38.75
48 23 62.19,-106 58 35.78
48 23 62.21,-106 58 3.28
48 23 62.24,-106 58 29.84
48 23 62.25,-106 58 26.92
48 23 62.26,-106 58 2.4
48 23 62.27,-106 58 21.06
48 23 62.29,-106 58 18.13
48 23 62.32,-106 58 15.19
48 23 62.34,-106 58 12.24
48 23 62.35,-106 58 9.3
48 23 62.36,-106 58 6.36
48 23 62.36,-106 58 3.43
48 23 62.36,-106 58 4.9
48 23 62.36,-106 57 97.55
48 23 62.37,-106 57 94.62
48 23 62.38,-106 57 91.68
48 23 62.38,-106 57 88.75
